kafka3-1  | [2026-03-17 04:56:40,158] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=44] [GroupId E61E_SimulatorGroup3] Bumped group epoch to 7 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,159] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Member 1f61723f-4a90-4df2-af65-e1663e8ea3ae left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,159] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Bumped group epoch to 10 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,159] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Member aa108949-926b-4ef5-a5ce-1357432a2b52 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,159] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Bumped group epoch to 11 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,160] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=44] [GroupId E61E_SimulatorGroup3] Member e7e79925-1e81-4cc2-a50e-c9acb126dfe6 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,161] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=44] [GroupId E61E_SimulatorGroup3] Bumped group epoch to 8 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,165] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Member 7a7d9828-de5b-4900-b065-0e2d8dd94398 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,165] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Bumped group epoch to 11 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,165] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Member f8578833-ee7c-48fa-bc79-d68f5abe8f87 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,166] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Bumped group epoch to 12 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,166] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Member 2c980df0-31ac-44da-9828-f45fdfa5ca2e left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka1-1  | [2026-03-17 04:56:40,166] INFO [GroupCoordinator id=2 topic=__consumer_offsets partition=17] [GroupId 0D56_SimulatorGroup2] Bumped group epoch to 13 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,169] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Member dfee9d4b-df4d-4e5d-bd1a-7607b579163a left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,169] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=44] [GroupId E61E_SimulatorGroup3] Member acf0560c-bff3-4967-9fba-85f18c8f9e24 left the consumer group. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,170] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=8] [GroupId 4338_SimulatorGroup4] Bumped group epoch to 12 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
kafka3-1  | [2026-03-17 04:56:40,170] INFO [GroupCoordinator id=4 topic=__consumer_offsets partition=44] [GroupId E61E_SimulatorGroup3] Bumped group epoch to 9 with metadata hash -3926091512683133559. (org.apache.kafka.coordinator.group.GroupMetadataManager)
