kafka2-1  | [2026-03-17 05:57:46,508] INFO Deleted offset index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-8/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,508] INFO Deleted time index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-8/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,508] INFO [LocalLog partition=737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-1, dir=/tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-1] Deleting segment files LogSegment(baseOffset=0, size=226044, lastModifiedTime=1773723400399, largestRecordTimestamp=1773723399397) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,509] INFO Deleted log /tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-1/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,509] INFO Deleted offset index /tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-1/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,509] INFO Deleted time index /tmp/kafka-logs/737CB1B5A37E9DFA7F674D2E48E30FB6A64C88D633EEB92315443955A4DF-1/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,510] INFO [LocalLog partition=F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-6, dir=/tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-6] Deleting segment files LogSegment(baseOffset=0, size=36766, lastModifiedTime=1773723399234, largestRecordTimestamp=1773723398623) (org.apache.kafka.storage.internals.log.LocalLog)
kafka2-1  | [2026-03-17 05:57:46,511] INFO Deleted log /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-6/00000000000000000000.log.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,511] INFO Deleted offset index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-6/00000000000000000000.index.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,511] INFO Deleted time index /tmp/kafka-logs/F2CC18BA92DA1E028FA3501319D6848074ACE41AC710AE1776E10837012A-6/00000000000000000000.timeindex.deleted. (org.apache.kafka.storage.internals.log.LogSegment)
kafka2-1  | [2026-03-17 05:57:46,513] INFO [LocalLog partition=32BB002EFC2CF4175F463EFD884F9B7D530B09DA3947DEFEAD5BB514838A-1, dir=/tmp/kafka-logs/32BB002EFC2CF4175F463EFD884F9B7D530B09DA3947DEFEAD5BB514838A-1] Deleting segment files LogSegment(baseOffset=0, size=506249, lastModifiedTime=1773723400399, largestRecordTimestamp=1773723399115) (org.apache.kafka.storage.internals.log.LocalLog)
