kafka1-1  | [2026-03-17 17:16:29,802] INFO Created log for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-6 in /tmp/kafka-logs/7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-6 with properties {} (kafka.log.LogManager)
kafka1-1  | [2026-03-17 17:16:29,802] INFO [Partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-6 broker=2] No checkpointed highwatermark is found for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-6 (kafka.cluster.Partition)
kafka1-1  | [2026-03-17 17:16:29,802] INFO [Partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-6 broker=2] Log loaded for partition 7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-6 with initial high watermark 0 (kafka.cluster.Partition)
kafka2-1  | [2026-03-17 17:16:29,803] INFO [LogLoader partition=14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-0, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka2-1  | [2026-03-17 17:16:29,804] INFO Created log for partition 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-0 in /tmp/kafka-logs/14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-0 with properties {} (kafka.log.LogManager)
kafka2-1  | [2026-03-17 17:16:29,804] INFO [Partition 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-0 broker=3] No checkpointed highwatermark is found for partition 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-0 (kafka.cluster.Partition)
kafka2-1  | [2026-03-17 17:16:29,804] INFO [Partition 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-0 broker=3] Log loaded for partition 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-0 with initial high watermark 0 (kafka.cluster.Partition)
kafka3-1  | [2026-03-17 17:16:29,808] INFO [LogLoader partition=14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-1, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
kafka3-1  | [2026-03-17 17:16:29,808] INFO Created log for partition 14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-1 in /tmp/kafka-logs/14DAA10524C4615A392322C50285C477347E5BFD13AB9F34FFBF815F287A-1 with properties {} (kafka.log.LogManager)
kafka1-1  | [2026-03-17 17:16:29,808] INFO [LogLoader partition=7D7EA98603F5A7EC9CE6F7C5F80A1C5D61C1459F9582B5CA98C691D40D30-5, dir=/tmp/kafka-logs] Loading producer state till offset 0 (org.apache.kafka.storage.internals.log.UnifiedLog)
